age,annual_income,credit_score,years_customer,prior_claims,region,high_risk
43,53537.55,547,2,1,1,1
27,76846.23,751,7,0,2,0
49,23479.07,675,1,1,2,0
51,42503.89,632,4,0,0,0
18,74204.25,659,6,0,1,0
24,50655.35,762,5,1,1,0
41,102095.8,738,11,0,1,0
36,22293.23,669,4,0,2,0
39,21057.23,588,0,3,0,1
29,72030.38,594,0,0,0,0
50,75576.72,740,7,1,1,0
49,44505.81,577,5,0,2,0
40,59885.95,670,1,1,2,0
53,71154.12,850,17,0,0,0
45,32632.64,716,12,0,2,0
29,34426.29,739,7,0,0,0
44,53898.78,595,9,1,2,0
28,77037.26,581,6,0,1,0
50,27365.04,743,1,0,0,0
39,44401.4,657,13,0,0,0
37,43385.55,773,12,1,0,0
31,60414.21,691,0,1,0,1
54,48808.06,850,9,0,0,0
38,37311.55,642,9,0,2,1
34,91517.26,711,6,2,0,0
35,37435.37,616,18,3,2,1
46,42359.66,770,17,1,0,0
44,22120.3,723,6,0,1,0
44,34309.83,611,6,1,1,1
45,63451.94,662,6,1,0,0
65,57543.76,797,4,0,0,1
35,66155.18,788,3,1,1,0
33,64569.09,574,10,1,0,0
30,139226.45,650,17,1,0,0
47,33727.56,833,15,1,1,0
53,21813.58,674,11,1,0,0
38,28990.5,702,0,1,0,0
29,34481.36,770,0,0,0,0
30,30116.74,581,13,0,1,1
47,51371.07,612,16,1,2,0
48,91704.57,662,10,0,0,0
46,105855.43,784,6,0,1,0
32,63079.7,769,14,1,0,0
42,143005.18,745,11,1,2,0
41,41019.94,676,13,0,2,1
42,21671.22,778,0,0,0,0
50,82999.43,675,9,0,0,0
42,19549.46,734,16,1,1,0
48,33607.3,760,10,0,1,0
40,63580.12,823,12,0,1,0
43,46574.54,683,8,0,0,0
47,44556.96,658,8,1,0,0
22,27162.84,791,15,1,0,0
36,48756.74,797,4,3,1,0
34,80969.78,644,4,0,1,0
32,49512.67,599,5,2,0,1
36,32366.75,785,8,3,2,0
57,26271.26,556,0,1,2,1
29,32702.37,552,11,0,1,0
51,59645.08,666,7,1,1,1
19,58209.34,688,12,0,1,0
35,32851.3,595,0,1,1,1
41,16230.06,697,12,0,0,0
47,60476.27,701,14,2,1,1
48,31292.89,641,10,0,1,0
49,69184.44,842,8,1,1,0
35,33588.71,714,12,0,1,0
34,29913.04,770,14,0,0,0
50,52922.61,563,10,0,1,0
37,159348.61,562,10,1,0,1
24,71290.26,716,16,2,2,0
26,52475.92,828,11,1,2,0
28,58654.86,599,3,0,1,0
45,20423.51,691,14,0,0,0
41,27968.38,581,7,1,0,0
48,13968.16,622,8,1,2,0
34,116417.36,695,8,0,0,0
41,105207.83,640,12,1,1,0
47,59659.53,575,16,1,0,1
36,52446.95,573,8,0,2,1
45,22566.12,529,16,1,0,1
32,43929.88,718,8,1,1,0
35,120113.92,727,15,0,0,0
35,52350.04,727,8,2,2,0
25,36963.15,607,5,0,1,0
45,20352.61,760,17,1,1,0
34,97748.47,736,5,1,0,0
40,47332.77,680,4,0,1,0
45,20366.22,667,1,0,0,0
45,30880.1,628,14,0,0,0
47,25880.14,695,15,2,0,0
38,45895.77,809,9,0,1,0
34,54375.53,771,3,0,1,0
39,38116.08,659,7,1,0,0
19,72295.94,723,6,0,2,0
22,50990.83,591,2,1,0,0
24,83379.37,738,5,1,1,1
28,41003.1,613,10,0,1,0
44,224731.76,735,4,0,2,0
29,36966.07,850,9,1,0,0
35,31205.04,634,0,0,1,0
55,29344.19,850,16,0,1,0
35,44113.87,719,6,1,1,0
48,20748.56,620,12,1,2,0
28,56799.42,616,8,2,0,1
37,18908.15,850,10,0,1,0
28,53147.98,719,2,1,2,0
35,24943.64,634,4,0,0,0
50,40511.99,663,4,0,1,0
19,66321.55,714,8,1,0,1
45,155130.01,679,14,1,0,0
42,28595.36,707,10,0,0,0
32,45471.51,821,3,0,0,0
22,34136.44,589,8,0,1,0
40,31731.49,731,7,1,2,0
33,34286.72,674,6,1,0,1
42,74015.75,640,7,0,0,0
40,38406.12,765,11,1,0,0
59,150942.82,563,4,0,1,0
37,60354.43,490,6,2,0,1
27,29584.17,697,12,1,1,0
42,40808.57,668,10,0,0,0
42,32829.29,571,14,0,1,0
56,73132.95,543,15,0,1,0
50,21603.49,834,1,0,1,0
44,25072.43,717,9,1,1,1
57,36469.33,681,5,0,2,0
25,68973.21,850,2,1,0,0
32,90810.49,761,4,2,1,0
28,97760.03,821,6,0,0,0
35,63888.89,585,6,0,2,0
23,47030.67,582,4,1,1,1
47,72934.2,729,7,1,1,0
37,27660.2,713,20,1,2,0
22,19490.28,779,0,0,0,0
27,60981.07,549,13,0,0,0
43,29648.32,736,7,1,0,0
50,47445.96,759,5,0,0,0
63,52042.37,754,0,1,1,0
74,55495.64,647,11,1,0,1
44,78346.44,721,0,0,0,0
28,74312.73,617,12,0,0,0
18,54041.09,656,16,1,0,1
43,39300.49,596,1,0,0,0
30,51734.55,619,13,0,1,0
35,36384.38,660,8,1,0,0
32,44435.12,640,0,1,2,1
38,181513.75,619,1,2,0,0
52,53696.06,576,8,2,0,1
41,61397.38,836,10,1,0,0
38,34449.84,639,0,2,0,1
27,81636.91,706,8,0,2,0
19,71692.13,539,12,1,1,1
34,71946.37,788,12,1,0,0
39,54581.25,693,5,2,2,0
61,82215.16,644,10,2,1,0
41,92581.31,645,13,0,1,0
51,56474.78,749,12,0,0,0
34,46290.58,443,12,0,0,1
25,76671.51,614,8,1,0,1
28,31192.64,670,7,1,0,0
31,34235.55,669,9,0,2,0
