amount,days_since_policy_start,has_witnesses,prior_claims_count
6545.87,1285,1,1
2198.17,116,0,1
2652.82,1257,1,0
436.27,530,0,0
5083.78,1051,0,2
9107.69,639,0,1
1154.52,1284,1,2
2002.82,418,1,0
742.64,201,0,0
1107.82,324,1,0
803.04,813,0,0
1612.72,459,1,0
1266.87,643,1,1
328.95,384,1,0
1497.6,1151,1,1
116.88,1357,1,0
973.65,525,1,2
1627.46,583,1,0
2036.78,1196,0,1
182.86,90,1,2
551.52,485,1,2
4048.49,1127,1,0
1997.15,557,1,1
5256.51,66,1,1
1921.79,85,1,2
3151.34,591,1,0
260.61,1016,1,0
8969.38,19,0,0
2110.74,1290,1,0
1931.37,929,1,2
2278.52,1329,0,0
926.2,1399,0,0
2058.91,838,1,2
3069.94,131,0,0
1442.93,738,1,0
1333.45,73,1,0
519.4,378,0,0
1584.3,1154,1,1
197.51,395,1,0
1842.71,28,0,0
2527.64,1135,1,1
481.93,1395,0,1
1058.64,1156,0,0
1884.05,1353,1,0
1329.92,99,1,1
4058.41,1248,0,0
9389.94,1458,1,0
601.45,729,0,0
2656.39,1142,0,0
2050.49,236,1,0
1717.56,703,1,1
3834.51,57,1,0
20875.22,65,0,0
880.53,824,1,2
7195.99,450,0,1
1595.58,1385,1,0
1871.72,178,0,0
404.22,82,1,0
8993.25,1300,0,0
5381.16,692,1,0
2076.09,1461,1,1
1545.9,156,0,0
751.33,671,0,1
2570.96,1010,1,0
852.22,718,0,0
3740.12,262,1,0
244.0,1298,0,0
933.49,1496,0,2
2756.22,684,1,0
1702.59,930,0,2
2295.26,2,1,0
2838.66,70,0,0
1401.63,421,0,2
6293.11,268,1,0
3431.61,1011,1,1
1560.42,245,0,1
634.47,648,1,0
6078.53,797,1,0
13055.64,423,0,1
1219.58,336,0,0
1874.43,954,0,1
3146.72,318,0,0
849.25,563,1,0
1676.11,525,0,1
421.09,131,1,0
7404.97,955,0,0
5654.51,442,0,1
956.71,1379,1,0
11504.15,1384,0,0
5048.8,1030,1,0
744.37,280,1,1
3110.43,1389,0,1
2153.43,1112,1,0
963.58,1262,1,1
4998.92,713,1,0
590.93,916,0,2
8237.4,322,1,0
2964.78,154,1,1
1989.61,614,1,1
1426.74,776,1,3
