age,annual_income,credit_score,years_customer,prior_claims,region
39,40942.04,826,0,0,1
35,82665.26,530,10,0,0
37,22142.65,712,11,1,0
27,28725.47,767,4,0,0
42,60259.36,791,9,1,0
25,24310.21,819,9,2,2
33,31408.94,664,9,0,0
37,20584.53,628,12,0,0
32,117285.95,696,10,0,0
39,54000.94,545,5,0,1
47,51936.29,618,7,1,0
18,40383.75,563,12,0,0
19,44656.94,690,6,0,1
55,29014.5,542,12,0,0
48,28461.87,850,7,1,1
18,42242.63,597,11,1,0
32,30572.08,728,12,0,2
48,70074.48,778,1,1,0
41,59804.67,629,6,0,1
40,63580.12,823,12,0,1
27,33733.25,679,5,0,1
18,54566.25,785,6,0,1
39,50211.74,711,10,1,0
31,55062.35,683,0,2,2
32,54681.77,622,9,0,1
27,70624.22,781,15,0,0
20,48980.41,798,8,0,1
42,55743.8,686,2,0,1
46,39550.2,645,0,1,0
34,31309.71,775,3,0,2
42,32160.73,703,4,0,1
39,68066.56,724,3,0,0
61,73585.86,724,5,1,0
52,44855.88,646,3,0,1
24,69670.53,850,7,0,1
53,25917.59,808,9,1,1
30,51677.04,687,5,0,2
41,49614.03,564,14,2,0
45,21984.96,683,14,1,0
18,132362.75,499,11,1,2
28,46982.16,661,10,0,0
25,20246.84,764,6,0,0
29,70486.85,850,2,1,1
47,31739.82,595,5,3,0
22,27162.84,791,15,1,0
38,44303.68,732,8,0,1
18,17441.96,730,6,3,0
36,37753.69,604,7,0,1
41,76809.68,559,5,2,0
32,31120.7,703,4,0,1
33,92881.29,600,6,1,0
37,64627.03,690,10,0,0
26,139319.59,678,9,0,1
23,34737.85,749,14,0,2
36,138552.91,606,16,0,0
50,35118.87,736,15,0,1
41,48494.77,733,12,0,1
58,57266.91,701,0,0,2
23,61666.43,734,9,0,0
48,31765.76,710,0,1,1
43,39856.06,713,7,0,1
20,55506.46,702,4,0,0
43,37046.5,659,4,0,1
27,80359.55,698,6,1,0
61,32466.54,705,9,2,0
38,61702.73,709,12,2,1
49,20211.46,767,1,1,0
47,156835.99,701,2,1,0
38,108753.72,776,6,1,0
35,85495.92,640,8,2,0
34,49017.93,660,1,0,1
28,54317.4,719,7,0,0
32,90810.49,761,4,2,1
47,39489.44,636,7,0,2
38,44995.72,676,8,0,0
39,70737.7,696,7,0,0
31,54094.61,673,17,1,1
39,98306.15,608,0,1,1
45,89264.98,795,8,0,0
40,44458.03,714,0,2,1
56,19562.99,594,4,1,1
50,45853.6,723,8,3,0
50,35064.86,702,10,0,2
61,41107.33,541,9,0,1
18,41297.87,845,1,2,0
41,101190.43,682,13,1,2
29,34426.29,739,7,0,0
38,38613.55,632,13,2,0
34,24129.62,563,10,0,0
37,36205.42,632,11,1,0
36,23548.34,718,11,1,1
60,32598.94,699,4,1,1
44,47650.83,686,9,0,1
48,34112.85,715,15,0,2
38,32954.11,711,2,0,0
33,29487.22,699,5,0,1
35,59317.89,610,6,1,0
52,51476.95,706,10,1,0
76,41620.83,643,0,0,1
45,30880.1,628,14,0,0
